Date,Air_quality_Code, pm25, pm10, no2, so2
10/21/2018,9,83, ,35,2
10/22/2018,9,104, ,33,2
10/23/2018,9,97, ,33,2
10/24/2018,9,104,93,23,2
10/25/2018,9,103,36,6,1
10/26/2018,9,49,21,11,2
10/27/2018,9,46,38,28,2
10/28/2018,9,54,63,27,2
10/29/2018,9,82,81,27,2
10/30/2018,9,105,59,34,2
10/31/2018,9,81,53,34,3
11/1/2018,9,74,39,26,3
11/2/2018,9,69,38,16,3
11/3/2018,9,77,54,33,3
11/4/2018,9,78,29,26,1
11/5/2018,9,65,33,25,1
11/6/2018,9,71,41,26,1
11/7/2018,9,85,48,30,2
11/8/2018,9,94,55,28,2
11/9/2018,9,107,33,31,1
11/10/2018,9,70,40,31,1
11/11/2018,9,73,39,25,1
11/12/2018,9,81,42,30,2
11/13/2018,9,85,41,27,2
11/14/2018,9,86,40,28,1
11/15/2018,9,75,29,16,1
11/16/2018,9,66,31,15,1
11/17/2018,9,70,53,32,2
11/18/2018,9,97,59,34,2
11/19/2018,9,97,53,29,2
11/20/2018,9,110,52,29,2
11/21/2018,9,104,55,30,2
11/22/2018,9,100,19,16,1
11/23/2018,9,43,23,14,1
11/24/2018,9,57,39,25,2
11/25/2018,9,71,35,25,1
11/26/2018,9,69,55,36,2
11/27/2018,9,104,52,39,2
11/28/2018,9,90,58,36,2
11/29/2018,9,98,58,20,1
11/30/2018,9,104,37,11,1
12/1/2018,9,62,43,32,1
12/2/2018,9,68,58,38,2
12/3/2018,9,87,41,25,1
12/4/2018,9,69,47,16,1
12/5/2018,9,54,21,18,1
12/6/2018,9,45,31,6,1
12/7/2018,9,49,24,13,1
12/8/2018,9,58,45,28,1
12/9/2018,9,79,43,25,1
12/10/2018,9,72,43,19,1
12/11/2018,9,60,46,14,1
12/12/2018,9,59,29,14,1
12/13/2018,9,44,27,18,1
12/14/2018,9,61,42,15,1
12/15/2018,9,69,67,31,1
12/16/2018,9,105,66,21,1
12/17/2018,9,97,43,22,1
12/18/2018,9,72,48,21,1
12/19/2018,9,70,30,15,1
12/20/2018,9,49,29,16,1
12/21/2018,9,66,25,18,2
12/22/2018,9,67,36,26,2
12/23/2018,9,80,38,24,1
12/24/2018,9,77,48,30,1
12/25/2018,9,89,44,25,1
12/26/2018,9,85,28,11,1
12/27/2018,9,51,28,11,1
12/28/2018,9,53,19,11,1
12/29/2018,9,59,17,23,1
12/30/2018,9,56, , , 
12/31/2018,9, ,18,30,2
1/1/2019,9,64, ,26,1
1/2/2019,9,58, ,19,1
1/3/2019,9,116, ,24,1
1/4/2019,9,66, ,17,1
1/5/2019,9,70, ,10,1
1/6/2019,9,57, ,11,1
1/7/2019,9,86, ,10,1
1/8/2019,9,46, ,18,1
1/9/2019,9,42, ,28,1
1/10/2019,9,55, ,25,1
1/11/2019,9,56, ,19,1
1/12/2019,9,88, ,16,1
1/13/2019,9,137, ,14,1
1/14/2019,9,142, ,22,2
1/15/2019,9,68, ,10,1
1/16/2019,9,72, ,11,1
1/17/2019,9,53, ,16,1
1/18/2019,9,52, ,17,1
1/19/2019,9,66, ,34,2
1/20/2019,9,82, ,33,2
1/21/2019,9,95, ,30,2
1/22/2019,9,103, ,34,2
1/23/2019,9,103, ,31,1
1/24/2019,9,85, ,26,2
1/25/2019,9,92, ,24,1
1/26/2019,9,91, ,23,1
1/27/2019,9,128, ,15,1
1/28/2019,9,76, ,25,1
1/29/2019,9,61, ,30,1
1/30/2019,9,70, ,28,1
1/31/2019,9,84, ,27,2
2/1/2019,9,80, ,17,1
2/2/2019,9,65, ,26,1
2/3/2019,9,70, ,35,1
2/4/2019,9,67, ,20,1
2/5/2019,9,94, ,22,1
2/6/2019,9,93, ,20,1
2/7/2019,9,107, ,15,1
2/8/2019,9,85, ,7,1
2/9/2019,9,41, ,16,1
2/10/2019,9,37, ,22,1
2/11/2019,9,84, ,26,1
2/12/2019,9,68, ,35,1
2/13/2019,9,73, ,20,1
2/14/2019,9,71, ,6,1
2/15/2019,9,117, ,7,1
2/16/2019,9,47, ,26,1
2/17/2019,9,54, ,24,1
2/18/2019,9,49, ,27,1
2/19/2019,9,57, ,27,1
2/20/2019,9,63, ,28,1
2/21/2019,9,61, ,21,1
2/22/2019,9,66, ,17,1
2/23/2019,9,63, ,30,1
2/24/2019,9,88, ,36,1
2/25/2019,9,115, ,17,1
2/26/2019,9,106, ,11,1
2/27/2019,9,65, ,7,1
2/28/2019,9,54, ,8,1
3/1/2019,9,50, ,13,1
3/2/2019,9,57, ,32,1
3/3/2019,9,61, ,25,1
3/4/2019,9,62, ,26,1
3/5/2019,9,57, ,27,1
3/6/2019,9,64, ,21,1
3/7/2019,9,58, ,18,1
3/8/2019,9,51, ,21,1
3/9/2019,9,60, ,23,1
3/10/2019,9,60, ,18,1
3/11/2019,9,55, ,28,1
3/12/2019,9,69, ,21,1
3/13/2019,9,69, ,13,1
3/14/2019,9,84, ,15,1
3/15/2019,9,60, ,9,1
3/16/2019,9,49, ,13,1
3/17/2019,9,61, ,22,1
3/18/2019,9,59, ,17,1
3/19/2019,9,66, ,19,1
3/20/2019,9,78, ,17,1
3/21/2019,9,87, ,16,1
3/22/2019,9,61, ,15,1
3/23/2019,9,76, ,22,2
3/24/2019,9,63, ,19,1
3/25/2019,9,33, ,20,2
3/26/2019,9,45, ,19,2
3/27/2019,9,100, ,23,2
3/28/2019,9,60, ,16,2
3/29/2019,9,62, ,4,1
3/30/2019,9,97, ,7,1
3/31/2019,9,36,46,12,1
4/1/2019,9,73,44,21,2
4/2/2019,9,68,45,22,2
4/3/2019,9,76,50,23,3
4/4/2019,9,89, , , 
4/6/2019,9, ,99,35,2
4/7/2019,9,120,93,22,2
4/8/2019,9,117,72,14,1
4/9/2019,9,101,31,14,1
4/10/2019,9,45,41,21,2
4/11/2019,9,57,39,16,2
4/12/2019,9,63,49,22,1
4/13/2019,9,85,133,14,1
4/14/2019,9,116,51,18,2
4/15/2019,9,70,35,17,1
4/16/2019,9,64,31,12,1
4/17/2019,9,51,36,13,1
4/18/2019,9,67,39,8,2
4/19/2019,9,70,32,3,1
4/20/2019,9,57,38,6,1
4/21/2019,9,53,28,10,1
4/22/2019,9,44,34,16,2
4/23/2019,9,61,37,19,2
4/24/2019,9,74,36,20,2
4/25/2019,9,73,39,11,2
4/26/2019,9,72,53,17,2
4/27/2019,9,100,58,22,2
4/28/2019,9,117,70,35,3
4/29/2019,9,125,64,21,2
4/30/2019,9,127,72,32,2
5/1/2019,9,124,83,31,3
5/2/2019,9,115,34,6,2
5/3/2019,9,58,23,6,2
5/4/2019,9,46,50,28,2
5/5/2019,9,85,82,33,2
5/6/2019,9,100,79,8,1
5/7/2019,9,84,35,9,2
5/8/2019,9,54,24,7,2
5/9/2019,9,43,24,10,2
5/10/2019,9,46,28,10,1
5/11/2019,9,64,46,20,2
5/12/2019,9,78,51,26,4
5/13/2019,9,83,42,22,4
5/14/2019,9,74,33,19,2
5/15/2019,9,66,47,29,2
5/16/2019,9,85,65,17,2
5/17/2019,9,94,39,9,2
5/18/2019,9,68,29,11,2
5/19/2019,9,56,37,15,2
5/20/2019,9,75,43,18,2
5/21/2019,9,85,57,38,3
5/22/2019,9,112,106,52,5
5/23/2019,9,174,87,31,5
5/24/2019,9,141,34,3,2
5/25/2019,9,64,25,11,2
5/26/2019,9,47,31,13,2
5/27/2019,9,58,31,8,2
5/28/2019,9,69,42,14,2
5/29/2019,9,82,48,18,2
5/30/2019,9,82,45,8,2
5/31/2019,9,74,33,4,2
6/1/2019,9,68,34,8,2
6/2/2019,9,63,40,12,2
6/3/2019,9,66,49,15,2
6/4/2019,9,72,58,15,2
6/5/2019,9,82,53,11,2
6/6/2019,9,76,30,6,1
6/7/2019,9,67,21,2,1
6/8/2019,9,56,29,3, 
6/9/2019,9,71,48,20,2
6/10/2019,9,85,60,33,2
6/11/2019,9,113,43,10,1
6/12/2019,9,92,34,9,1
6/13/2019,9,72,32,5,1
6/14/2019,9,75,37,6,2
6/15/2019,9,81,46,15,2
6/16/2019,9,90,44,12,1
6/17/2019,9,81,43,12,2
6/18/2019,9,83,45,13,2
6/19/2019,9,84,40,14,1
6/20/2019,9,80,36,9,1
6/21/2019,9,76,33,4,1
6/22/2019,9,77,40,11,1
6/23/2019,9,79,38,10,2
6/24/2019,9,90,35,10,1
6/25/2019,9,79,37,14,1
6/26/2019,9,78,47,16,1
6/27/2019,9,75,45,7,1
6/28/2019,9,89,40,3,1
