date, pm25, pm10, no2, so2,Air_quality_Code
12/28/2018,53,19,11,1,9
12/29/2018,59,17,23,1,9
12/30/2018,56, , , ,9
12/31/2018, ,18,30,2,9
1/1/2019,64, ,26,1,9
1/2/2019,58, ,19,1,9
1/3/2019,116, ,24,1,9
1/4/2019,66, ,17,1,9
1/5/2019,70, ,10,1,9
1/6/2019,57, ,11,1,9
1/7/2019,86, ,10,1,9
1/8/2019,46, ,18,1,9
1/9/2019,42, ,28,1,9
1/10/2019,55, ,25,1,9
1/11/2019,56, ,19,1,9
1/12/2019,88, ,16,1,9
1/13/2019,137, ,14,1,9
1/14/2019,142, ,22,2,9
1/15/2019,68, ,10,1,9
1/16/2019,72, ,11,1,9
1/17/2019,53, ,16,1,9
1/18/2019,52, ,17,1,9
1/19/2019,66, ,34,2,9
1/20/2019,82, ,33,2,9
1/21/2019,95, ,30,2,9
1/22/2019,103, ,34,2,9
1/23/2019,103, ,31,1,9
1/24/2019,85, ,26,2,9
1/25/2019,92, ,24,1,9
1/26/2019,91, ,23,1,9
1/27/2019,128, ,15,1,9
1/28/2019,76, ,25,1,9
1/29/2019,61, ,30,1,9
1/30/2019,70, ,28,1,9
1/31/2019,84, ,27,2,9
2/1/2019,80, ,17,1,9
2/2/2019,65, ,26,1,9
2/3/2019,70, ,35,1,9
2/4/2019,67, ,20,1,9
2/5/2019,94, ,22,1,9
2/6/2019,93, ,20,1,9
2/7/2019,107, ,15,1,9
2/8/2019,85, ,7,1,9
2/9/2019,41, ,16,1,9
2/10/2019,37, ,22,1,9
2/11/2019,84, ,26,1,9
2/12/2019,68, ,35,1,9
2/13/2019,73, ,20,1,9
2/14/2019,71, ,6,1,9
2/15/2019,117, ,7,1,9
2/16/2019,47, ,26,1,9
2/17/2019,54, ,24,1,9
2/18/2019,49, ,27,1,9
2/19/2019,57, ,27,1,9
2/20/2019,63, ,28,1,9
2/21/2019,61, ,21,1,9
2/22/2019,66, ,17,1,9
2/23/2019,63, ,30,1,9
2/24/2019,88, ,36,1,9
2/25/2019,115, ,17,1,9
2/26/2019,106, ,11,1,9
2/27/2019,65, ,7,1,9
2/28/2019,54, ,8,1,9
3/1/2019,50, ,13,1,9
3/2/2019,57, ,32,1,9
3/3/2019,61, ,25,1,9
3/4/2019,62, ,26,1,9
3/5/2019,57, ,27,1,9
3/6/2019,64, ,21,1,9
3/7/2019,58, ,18,1,9
3/8/2019,51, ,21,1,9
3/9/2019,60, ,23,1,9
3/10/2019,60, ,18,1,9
3/11/2019,55, ,28,1,9
3/12/2019,69, ,21,1,9
3/13/2019,69, ,13,1,9
3/14/2019,84, ,15,1,9
3/15/2019,60, ,9,1,9
3/16/2019,49, ,13,1,9
3/17/2019,61, ,22,1,9
3/18/2019,59, ,17,1,9
3/19/2019,66, ,19,1,9
3/20/2019,78, ,17,1,9
3/21/2019,87, ,16,1,9
3/22/2019,61, ,15,1,9
3/23/2019,76, ,22,2,9
3/24/2019,63, ,19,1,9
3/25/2019,33, ,20,2,9
