Date,Temp_location_code,Temp_c
29/08/2018,1381,28.8
30/08/2018,1381,28.6
31/08/2018,1381,28.4
01/09/2018,1381,28.3
02/09/2018,1381,28.6
03/09/2018,1381,29.6
04/09/2018,1381,29.7
05/09/2018,1381,29.6
06/09/2018,1381,29.3
07/09/2018,1381,29.1
08/09/2018,1381,28.6
09/09/2018,1381,28.6
10/09/2018,1381,28.4
11/09/2018,1381,28.4
12/09/2018,1381,28.8
13/09/2018,1381,28.7
14/09/2018,1381,28.2
15/09/2018,1381,28.2
16/09/2018,1381,27.5
17/09/2018,1381,28.6
18/09/2018,1381,28.6
19/09/2018,1381,28.9
20/09/2018,1381,28.6
21/09/2018,1381,27.7
22/09/2018,1381,28.1
23/09/2018,1381,28
24/09/2018,1381,27.7
25/09/2018,1381,27.7
26/09/2018,1381,27.8
27/09/2018,1381,27.8
28/09/2018,1381,28
29/09/2018,1381,29.2
30/09/2018,1381,29.4
01/10/2018,1381,29.2
02/10/2018,1381,28.2
03/10/2018,1381,27.9
04/10/2018,1381,27.6
05/10/2018,1381,27.2
06/10/2018,1381,27.5
07/10/2018,1381,27.4
08/10/2018,1381,27
09/10/2018,1381,26.7
10/10/2018,1381,26.4
11/10/2018,1381,26.1
12/10/2018,1381,26.4
13/10/2018,1381,26.3
14/10/2018,1381,26.4
15/10/2018,1381,26.1
16/10/2018,1381,26
17/10/2018,1381,26.4
18/10/2018,1381,26.4
19/10/2018,1381,26.3
20/10/2018,1381,26.5
21/10/2018,1381,26.5
22/10/2018,1381,33.4
23/10/2018,1381,30.9
24/10/2018,1381,27.9
25/10/2018,1381,27.5
26/10/2018,1381,24.1
27/10/2018,1381,23.3
28/10/2018,1381,26.6
29/10/2018,1381,27.7
30/10/2018,1381,29.3
31/10/2018,1381,29.8
01/11/2018,1381,30.3
02/11/2018,1381,30.1
03/11/2018,1381,29
04/11/2018,1381,26.6
05/11/2018,1381,21.8
06/11/2018,1381,22.2
07/11/2018,1381,23.4
08/11/2018,1381,24.1
09/11/2018,1381,26.2
10/11/2018,1381,24.2
11/11/2018,1381,22
12/11/2018,1381,22.4
13/11/2018,1381,23.3
14/11/2018,1381,22.5
15/11/2018,1381,21.7
16/11/2018,1381,21.9
17/11/2018,1381,23.5
18/11/2018,1381,26.6
19/11/2018,1381,24.9
20/11/2018,1381,23.1
21/11/2018,1381,22.4
22/11/2018,1381,21.8
23/11/2018,1381,20.2
24/11/2018,1381,19.7
25/11/2018,1381,21.2
26/11/2018,1381,21.6
27/11/2018,1381,25
28/11/2018,1381,26
29/11/2018,1381,22.2
30/11/2018,1381,22.2
01/12/2018,1381,21.1
02/12/2018,1381,22.1
03/12/2018,1381,23.9
04/12/2018,1381,20.4
05/12/2018,1381,20.4
06/12/2018,1381,18.3
07/12/2018,1381,19.2
08/12/2018,1381,18.8
09/12/2018,1381,19.5
10/12/2018,1381,19.6
11/12/2018,1381,20.6
12/12/2018,1381,20.8
13/12/2018,1381,19.3
14/12/2018,1381,19.7
15/12/2018,1381,22.3
16/12/2018,1381,21
17/12/2018,1381,19.8
18/12/2018,1381,19.7
19/12/2018,1381,19.3
20/12/2018,1381,18.8
21/12/2018,1381,19
22/12/2018,1381,19.2
23/12/2018,1381,18.6
24/12/2018,1381,19
25/12/2018,1381,21.3
26/12/2018,1381,18.7
27/12/2018,1381,17.3
28/12/2018,1381,17.3
29/12/2018,1381,16.9
30/12/2018,1381,17.8
31/12/2018,1381,17.7
01/01/2019,1381,18.8
02/01/2019,1381,18.1
03/01/2019,1381,17.8
04/01/2019,1381,17.9
05/01/2019,1381,17.8
06/01/2019,1381,17.6
07/01/2019,1381,16.7
08/01/2019,1381,16.8
09/01/2019,1381,14.6
10/01/2019,1381,-
11/01/2019,1381,-
12/01/2019,1381,-
13/01/2019,1381,-
14/01/2019,1381,16.7
15/01/2019,1381,16.9
16/01/2019,1381,16.7
17/01/2019,1381,15.6
18/01/2019,1381,15.9
19/01/2019,1381,16.3
20/01/2019,1381,17.1
21/01/2019,1381,19.5
22/01/2019,1381,17.8
23/01/2019,1381,19.9
24/01/2019,1381,23.5
25/01/2019,1381,20.3
26/01/2019,1381,22
27/01/2019,1381,20
28/01/2019,1381,17.2
29/01/2019,1381,17.1
